tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
470,2/1/2016 8:45,2/1/2016 8:53,3211,Newark Ave,40.72152515,-74.04630454,3184,Paulus Hook,40.7141454,-74.0335519,24589,Subscriber,1989,1
179,2/1/2016 8:48,2/1/2016 8:51,3213,Van Vorst Park,40.71848892,-74.04772663,3185,City Hall,40.7177325,-74.043845,24559,Subscriber,1992,1
568,2/1/2016 8:48,2/1/2016 8:57,3212,Christ Hospital,40.73478582,-74.05044364,3186,Grove St PATH,40.71958612,-74.04311746,24647,Subscriber,1983,1
222,2/1/2016 8:49,2/1/2016 8:52,3209,Brunswick St,40.7241765,-74.0506564,3211,Newark Ave,40.72152515,-74.04630454,24422,Subscriber,1978,1
1372,2/1/2016 8:50,2/1/2016 9:12,3210,Pershing Field,40.74267714,-74.05178863,3183,Exchange Place,40.7162469,-74.0334588,24412,Subscriber,1976,1
262,2/1/2016 8:52,2/1/2016 8:57,3195,Sip Ave,40.73074263,-74.06378388,3201,Dey St,40.737711,-74.066921,24658,Subscriber,1973,1
508,2/1/2016 8:52,2/1/2016 9:01,3202,Newport PATH,40.7272235,-74.0337589,3183,Exchange Place,40.7162469,-74.0334588,24687,Subscriber,1968,1
378,2/1/2016 8:53,2/1/2016 9:00,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24662,Subscriber,1984,1
1021,2/1/2016 8:54,2/1/2016 9:11,3210,Pershing Field,40.74267714,-74.05178863,3183,Exchange Place,40.7162469,-74.0334588,24688,Subscriber,1991,2
300,2/1/2016 8:56,2/1/2016 9:01,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24619,Subscriber,1984,1
150,2/1/2016 8:57,2/1/2016 8:59,3213,Van Vorst Park,40.71848892,-74.04772663,3185,City Hall,40.7177325,-74.043845,24681,Subscriber,1962,1
330,2/1/2016 8:57,2/1/2016 9:03,3213,Van Vorst Park,40.71848892,-74.04772663,3183,Exchange Place,40.7162469,-74.0334588,24699,Subscriber,1949,1
465,2/1/2016 8:57,2/1/2016 9:05,3210,Pershing Field,40.74267714,-74.05178863,3195,Sip Ave,40.73074263,-74.06378388,24583,Subscriber,1985,1
342,2/1/2016 8:58,2/1/2016 9:03,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24455,Subscriber,1960,1
343,2/1/2016 8:59,2/1/2016 9:05,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24587,Subscriber,1985,2
527,2/1/2016 9:00,2/1/2016 9:09,3195,Sip Ave,40.73074263,-74.06378388,3193,Lincoln Park,40.7246051,-74.07840595,24667,Subscriber,1991,1
1293,2/1/2016 9:03,2/1/2016 9:24,3193,Lincoln Park,40.7246051,-74.07840595,3202,Newport PATH,40.7272235,-74.0337589,24403,Subscriber,1985,1
489,2/1/2016 9:05,2/1/2016 9:13,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24572,Subscriber,1967,1
474,2/1/2016 9:05,2/1/2016 9:13,3202,Newport PATH,40.7272235,-74.0337589,3184,Paulus Hook,40.7141454,-74.0335519,24620,Subscriber,1982,1
619,2/1/2016 9:05,2/1/2016 9:15,3202,Newport PATH,40.7272235,-74.0337589,3183,Exchange Place,40.7162469,-74.0334588,24724,Subscriber,1972,1
673,2/1/2016 9:06,2/1/2016 9:17,3202,Newport PATH,40.7272235,-74.0337589,3183,Exchange Place,40.7162469,-74.0334588,24676,Subscriber,1967,1
709,2/1/2016 9:15,2/1/2016 9:27,3199,Newport Pkwy,40.7287448,-74.0321082,3184,Paulus Hook,40.7141454,-74.0335519,24627,Subscriber,1959,1
1028,2/1/2016 9:17,2/1/2016 9:34,3205,JC Medical Center,40.71653978,-74.04963791,3183,Exchange Place,40.7162469,-74.0334588,24698,Subscriber,1970,1
515,2/1/2016 9:17,2/1/2016 9:26,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24387,Subscriber,1985,2
95,2/1/2016 9:18,2/1/2016 9:19,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,24688,Subscriber,1984,1
682,2/1/2016 9:18,2/1/2016 9:29,3196,Riverview Park,40.7443187,-74.0439909,3202,Newport PATH,40.7272235,-74.0337589,24405,Subscriber,1964,1
382,2/1/2016 9:19,2/1/2016 9:25,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24700,Subscriber,1968,1
272,2/1/2016 9:20,2/1/2016 9:25,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24584,Subscriber,1984,1
455,2/1/2016 9:36,2/1/2016 9:44,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958612,-74.04311746,24411,Subscriber,1988,2
761,2/1/2016 9:44,2/1/2016 9:57,3210,Pershing Field,40.74267714,-74.05178863,3203,Hamilton Park,40.72759597,-74.04424731,24555,Subscriber,1966,1
455,2/1/2016 9:45,2/1/2016 9:53,3195,Sip Ave,40.73074263,-74.06378388,3225,Baldwin at Montgomery,40.7236589,-74.0641943,24387,Subscriber,1969,2
437,2/1/2016 9:47,2/1/2016 9:54,3206,Hilltop,40.7311689,-74.0575736,3211,Newark Ave,40.72152515,-74.04630454,24397,Subscriber,1973,1
328,2/1/2016 9:51,2/1/2016 9:56,3214,Essex Light Rail,40.7127742,-74.0364857,3202,Newport PATH,40.7272235,-74.0337589,24644,Subscriber,1979,1
3665,2/1/2016 9:56,2/1/2016 10:57,3212,Christ Hospital,40.73478582,-74.05044364,3185,City Hall,40.7177325,-74.043845,24531,Customer,,0
658,2/1/2016 10:07,2/1/2016 10:18,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,24430,Subscriber,1989,1
654,2/1/2016 10:11,2/1/2016 10:22,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,24387,Subscriber,1989,1
548,2/1/2016 10:17,2/1/2016 10:26,3211,Newark Ave,40.72152515,-74.04630454,3206,Hilltop,40.7311689,-74.0575736,24397,Subscriber,1973,1
554,2/1/2016 10:19,2/1/2016 10:28,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3206,Hilltop,40.7311689,-74.0575736,24716,Subscriber,1980,1
243,2/1/2016 10:19,2/1/2016 10:23,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24641,Subscriber,1960,1
230,2/1/2016 10:19,2/1/2016 10:23,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24621,Subscriber,1976,1
259,2/1/2016 10:22,2/1/2016 10:26,3187,Warren St,40.7211236,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24550,Subscriber,1991,1
279,2/1/2016 10:26,2/1/2016 10:30,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24535,Subscriber,1965,1
174,2/1/2016 10:28,2/1/2016 10:31,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24584,Subscriber,1991,1
315,2/1/2016 10:32,2/1/2016 10:37,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24468,Subscriber,1981,1
324,2/1/2016 10:46,2/1/2016 10:51,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24392,Subscriber,1981,1
464,2/1/2016 10:50,2/1/2016 10:58,3202,Newport PATH,40.7272235,-74.0337589,3183,Exchange Place,40.7162469,-74.0334588,24543,Subscriber,1985,1
399,2/1/2016 10:57,2/1/2016 11:04,3206,Hilltop,40.7311689,-74.0575736,3225,Baldwin at Montgomery,40.7236589,-74.0641943,24716,Subscriber,1980,1
797,2/1/2016 11:01,2/1/2016 11:15,3195,Sip Ave,40.73074263,-74.06378388,3210,Pershing Field,40.74267714,-74.05178863,24409,Subscriber,1973,2
1917,2/1/2016 11:05,2/1/2016 11:37,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,24672,Subscriber,1980,1
241,2/1/2016 11:05,2/1/2016 11:09,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24392,Subscriber,1991,1
1132,2/1/2016 11:13,2/1/2016 11:32,3212,Christ Hospital,40.73478582,-74.05044364,3183,Exchange Place,40.7162469,-74.0334588,24571,Subscriber,1994,1
1211,2/1/2016 11:14,2/1/2016 11:34,3192,Liberty Light Rail,40.7112423,-74.0557013,3203,Hamilton Park,40.72759597,-74.04424731,24556,Subscriber,1977,2
177,2/1/2016 11:16,2/1/2016 11:19,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24392,Subscriber,1991,1
581,2/1/2016 11:18,2/1/2016 11:28,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24700,Subscriber,1986,2
341,2/1/2016 11:36,2/1/2016 11:41,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,24495,Subscriber,1965,1
472,2/1/2016 11:38,2/1/2016 11:46,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,24588,Subscriber,1981,1
1081,2/1/2016 11:43,2/1/2016 12:01,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,24624,Customer,,0
558,2/1/2016 11:44,2/1/2016 11:53,3212,Christ Hospital,40.73478582,-74.05044364,3186,Grove St PATH,40.71958612,-74.04311746,24627,Subscriber,1976,2
517,2/1/2016 11:54,2/1/2016 12:03,3212,Christ Hospital,40.73478582,-74.05044364,3195,Sip Ave,40.73074263,-74.06378388,24688,Subscriber,1990,1
111,2/1/2016 11:57,2/1/2016 11:59,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,24685,Subscriber,1955,1
931,2/1/2016 11:58,2/1/2016 12:13,3184,Paulus Hook,40.7141454,-74.0335519,3199,Newport Pkwy,40.7287448,-74.0321082,24620,Subscriber,1975,1
443,2/1/2016 12:03,2/1/2016 12:11,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24646,Subscriber,1964,2
1100,2/1/2016 12:04,2/1/2016 12:22,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,24624,Customer,,0
196,2/1/2016 12:06,2/1/2016 12:10,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,24412,Subscriber,1981,1
114,2/1/2016 12:11,2/1/2016 12:13,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,24588,Subscriber,1963,1
527,2/1/2016 12:12,2/1/2016 12:21,3211,Newark Ave,40.72152515,-74.04630454,3192,Liberty Light Rail,40.7112423,-74.0557013,24412,Subscriber,1987,2
300,2/1/2016 12:15,2/1/2016 12:20,3206,Hilltop,40.7311689,-74.0575736,3211,Newark Ave,40.72152515,-74.04630454,24397,Subscriber,1991,1
816,2/1/2016 12:18,2/1/2016 12:32,3210,Pershing Field,40.74267714,-74.05178863,3195,Sip Ave,40.73074263,-74.06378388,24595,Subscriber,1973,2
405,2/1/2016 12:19,2/1/2016 12:26,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,24687,Subscriber,1984,1
